8903,633.58,0.7876,144.05,1255,20.55,79.3,230.83,459.68,16.26
8906.6,647.15,0.7984,145.91,1291.2,20.98,80.93,231.4,460.35,16.25
8910,651.1,0.8034,145.48,1305.7,20.95,81.28,233.59,455.07,16.5
8921.7,642.28,0.7963,144.29,1286.9,20.7,79,230.79,457.59,16.19
8980.6,654.63,0.8,144.29,1293.3,20.8,81,233.33,460.46,16.44
9000.9,652,0.796,144.27,1275.6,20.8,79.35,229.08,454.67,16.11
8988,659,0.8051,145.32,1295.7,21.03,80.87,230,459.92,16.25
8997,659.34,0.8176,146,1305,21.16,81.36,231.81,462.29,16.6
9036.3,672.69,0.8292,147.5,1324.2,21.41,82.9,235.46,466.7,16.77
9091.9,663.52,0.8208,145.5,1301.9,21.26,81.83,235.09,467.24,16.7
9040,665.55,0.8221,146,1308.3,21.15,81.7,236,467.24,16.66
9071,660.26,0.8165,145.42,1299.6,21,80.54,236.46,466.76,16.65
9024.2,653.92,0.8098,144.72,1287.5,20.82,79.99,233.68,461.74,16.17
9025,649.42,0.8113,144.6,1293.7,20.96,80,231.68,474.49,16.18
9059.2,644.34,0.8097,144.2,1295,20.73,79.95,231.35,469.38,16.33
9045.1,649.4,0.8151,144,1295,20.81,80.11,232.02,471.3,16.3
9093.4,657.62,0.8186,145.5,1300,21,81.69,237.72,472.99,16.48
9070.9,661.39,0.826,145.95,1292.1,21.3,82.1,238.65,473.5,16.59
9180,661.43,0.826,145.9,1289.9,21.2,82.11,236.13,472.47,16.66
9150.7,663,0.825,145.54,1287,21.05,81.09,237.17,468,16.79
9130,663.1,0.8286,146.09,1305.8,21.24,82.4,237.65,470.56,16.9
9122.1,671,0.8332,147.5,1313,21.35,84.26,240.1,475,17.17
9170.5,671.99,0.8268,147.31,1312.5,21.31,83.8,238.3,474.8,16.82
9177,672.52,0.8356,148.16,1351.1,21.51,84.5,240,476.39,16.97
